
2024/09/21 (15:59:59) | ERROR: Stall in Runner thread, restarting!
2024/09/21 (16:00:05) | ERROR: Stall in Runner thread, restarting!
2024/09/21 (16:00:11) | ERROR: Stall in Runner thread, restarting!
2024/09/21 (16:00:17) | ERROR: Stall in Runner thread, restarting!
2024/09/21 (16:00:23) | ERROR: Stall in Runner thread, restarting!
2024/09/21 (16:00:29) | ERROR: Stall in Runner thread, restarting!
2024/09/21 (16:00:35) | ERROR: Stall in Runner thread, restarting!
2024/09/21 (16:00:41) | ERROR: Stall in Runner thread, restarting!

2024/09/26 (13:49:41) | ===> btop++ v.1.3.2
2024/09/26 (13:49:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/27 (00:45:29) | ===> btop++ v.1.3.2
2024/09/27 (00:45:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/27 (06:45:12) | ===> btop++ v.1.3.2
2024/09/27 (06:45:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/27 (06:45:18) | ERROR: Stall in Runner thread, restarting!
2024/09/27 (06:45:24) | ERROR: Stall in Runner thread, restarting!

2024/09/27 (23:43:26) | ===> btop++ v.1.4.0
2024/09/27 (23:43:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/29 (18:47:39) | ===> btop++ v.1.4.0
2024/09/29 (18:47:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/04 (11:01:31) | ===> btop++ v.1.4.0
2024/10/04 (11:01:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/12 (09:46:15) | ===> btop++ v.1.4.0
2024/10/12 (09:46:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/12 (18:50:38) | ===> btop++ v.1.4.0
2024/10/12 (18:50:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/12 (18:53:29) | ===> btop++ v.1.4.0
2024/10/12 (18:53:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/12 (18:55:34) | ===> btop++ v.1.4.0
2024/10/12 (18:55:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/12 (21:14:04) | ===> btop++ v.1.4.0
2024/10/12 (21:14:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/13 (12:28:20) | ===> btop++ v.1.4.0
